Code;Description;Type_Code;Heures_normales;TopCode;Matin;AM;Soir;Nuit
7 11;Poste de travail;Travail;4;x;1;0;0;0
7 11:30;Poste de travail;Travail;4,5;x;1;0;0;0
7 13;Poste de travail;Travail;6;x;1;0;0;0
7 13 14 20;Poste Spécifique;Travail;12;;1;1;1;0
7 13 16 20;Poste Spécifique;Travail;10;;1;1;1;0
7 14;Poste de travail;Travail;7;x;1;1;0;0
7 15;Poste de travail;Travail;8;x;1;1;0;0
7 15:30;Poste de travail;Travail;8,5;x;1;1;0;0
7 16;Poste de travail;Travail;9;x;1;1;0;0
7 16:30;Poste de travail;Travail;9,5;x;1;1;1;0
7:15 13:15;Poste de travail;Travail;6;;1;0;0;0
7:15 15;Poste de travail;Travail;7,75;;1;1;0;0
7:15 15:30;Poste de travail;Travail;8,25;;1;1;0;0
7:15 15:45;Poste de travail;Travail;8,5;;1;1;0;0
7:30 13:15;Poste de travail;Travail;5,75;;1;0;0;0
7:30 13:30;Poste de travail;Travail;6;;1;1;0;0
7:30 15:30;Poste de travail;Travail;8;x;1;1;0;0
7:30 16;Poste de travail;Travail;8,5;x;1;1;0;0
8 11;Poste de travail;Travail;3;;1;0;0;0
8 12;Poste de travail;Travail;4;x;1;0;0;0
8 12:30;Poste de travail;Travail;4,5;;1;0;0;0
8 14;Poste de travail;Travail;6;;1;1;0;0
8 16;Poste de travail;Travail;8;x;1;1;0;0
8 16:30;Poste de travail;Travail;8,5;;1;1;1;0
8 17;Poste de travail;Travail;9;;1;1;1;0
8 18;Poste de travail;Travail;10;;1;1;1;0
8 11 13 18:30;Poste Spécifique;Travail;8,5;;1;1;1;0
8:20;Poste de travail;Travail;8;;1;0;0;0
8:30 12;Poste de travail;Travail;3,5;;1;0;0;0
8:30 12:30;Poste de travail;Travail;4;;1;0;0;0
8:30 12:45;Poste de travail;Travail;4,25;;1;0;0;0
8:30 13;Poste de travail;Travail;4,5;;1;0;0;0
8:30 14:30;Poste de travail;Travail;6;;1;1;0;0
8:30 14:43;Poste de travail;Travail;6,21;;1;1;0;0
8:30 15:45;Poste de travail;Travail;7,25;;1;1;0;0
8:30 16:30;Poste de travail;Travail;8;x;1;1;1;0
8:30 17;Poste de travail;Travail;8,5;;1;1;1;0
9 13;Poste de travail;Travail;4;;1;0;0;0
9 14one;Poste de travail;Travail;5;;1;1;0;0
9 16:30;Poste de travail;Travail;7,5;x;1;1;1;0
9 17:30;Poste de travail;Travail;8,5;;1;1;1;0
9 18;Poste de travail;Travail;9;;1;1;1;0
9:30 18;Poste de travail;Travail;8,5;x;1;1;1;0
10 13;Poste de travail;Travail;3;;1;0;0;0
10 14;Poste de travail;Travail;4;;1;1;0;0
10 16:30;Poste de travail;Travail;6,5;;1;1;1;0
10 19;Poste de travail;Travail;9;;1;1;1;0
10:30 17;Poste de travail;Travail;6,5;;1;1;1;0
11 16:30;Poste de travail;Travail;5,5;;1;1;1;0
11:30 20;Poste de travail;Travail;8,5;;1;1;1;0
12 16:30;Poste de travail;Travail;4,5;;0;1;1;0
12 16;Poste de travail;Travail;4;;0;1;0;0
12 20;Poste de travail;Travail;8;;0;1;1;0
12:30 16:30;Poste de travail;Travail;4;;0;1;1;0
13 18;Poste de travail;Travail;5;;0;1;1;0
13 19;Poste de travail;Travail;6;;0;1;1;0
13 15:30;Poste de travail;Travail;2,5;;0;1;0;0
13 16:30;Poste de travail;Travail;3,5;;0;1;1;0
13:30 17:30;Poste de travail;Travail;4;;0;1;1;0
14 18;Poste de travail;Travail;4;;0;1;1;0
14 20;Poste de travail;Travail;6;;0;1;1;0
15 19;Poste de travail;Travail;4;;0;1;1;0
15 20;Poste de travail;Travail;5;;0;1;1;0
15:30 19;Poste de travail;Travail;3,5;;0;1;1;0
16 20;Poste de travail;Travail;4;;0;1;1;0
16:30 20:15;Poste de travail;Travail;3,75;;0;0;1;0
18 21:00;Poste de travail;Travail;3;;0;0;1;0
6:45 12:15;Poste de travail;Travail;5,5;;1;0;0;0
6:45 14:45;Poste de travail;Travail;8;;1;1;0;0
6:45 15:15;Poste de travail;Travail;8,5;;1;1;0;0
6:45 20:30;Poste de travail;Travail;13,75;;1;1;1;0
