Code;Description;Type_Code;Heures_normales;TopCode;H_Start;H_Pause_Start;H_Pause_End;H_End
7 11;Poste de travail;Travail;4;x;7:00;;;11:00
7 11:30;Poste de travail;Travail;4,5;x;7:00;;;11:30
7 13;Poste de travail;Travail;6;x;7:00;;;13:00
7 13 14 20;Poste Spécifique;Travail;12;;7:00;13:00;14:00;20:00
7 13 16 20;Poste Spécifique;Travail;10;;7:00;13:00;16:00;20:00
7 14;Poste de travail;Travail;7;x;7:00;;;14:00
7 15;Poste de travail;Travail;8;x;7:00;;;15:00
7 15:30;Poste de travail;Travail;8,5;x;7:00;;;15:30
7 16;Poste de travail;Travail;9;x;7:00;;;16:00
7 16:30;Poste de travail;Travail;9,5;x;7:00;;;16:30
7:15 13:15;Poste de travail;Travail;6;;7:15;;;13:15
7:15 15;Poste de travail;Travail;7,75;;7:15;;;15:00
7:15 15:30;Poste de travail;Travail;8,25;;7:15;;;15:30
7:15 15:45;Poste de travail;Travail;8,5;;7:15;;;15:45
7:30 13:15;Poste de travail;Travail;5,75;;7:30;;;13:15
7:30 13:30;Poste de travail;Travail;6;;7:30;;;13:30
7:30 15:30;Poste de travail;Travail;8;x;7:30;;;15:30
7:30 16;Poste de travail;Travail;8,5;x;7:30;;;16:00
8 11;Poste de travail;Travail;3;;8:00;;;11:00
8 12;Poste de travail;Travail;4;x;8:00;;;12:00
8 12:30;Poste de travail;Travail;4,5;;8:00;;;12:30
8 14;Poste de travail;Travail;6;;8:00;;;14:00
8 16;Poste de travail;Travail;8;x;8:00;;;16:00
8 16:30;Poste de travail;Travail;8,5;;8:00;;;16:30
8 17;Poste de travail;Travail;9;;8:00;;;17:00
8 18;Poste de travail;Travail;10;;8:00;;;18:00
8 11 13 18:30;Poste Spécifique;Travail;8,5;;8:00;11:00;13:00;18:30
8:30 12;Poste de travail;Travail;3,5;;8:30;;;12:00
8:30 12:30;Poste de travail;Travail;4;;8:30;;;12:30
8:30 12:45;Poste de travail;Travail;4,25;;8:30;;;12:45
8:30 13;Poste de travail;Travail;4,5;;8:30;;;13:00
8:30 14:30;Poste de travail;Travail;6;;8:30;;;14:30
8:30 14:43;Poste de travail;Travail;6,21;;8:30;;;14:43
8:30 15:45;Poste de travail;Travail;7,25;;8:30;;;15:45
8:30 16:30;Poste de travail;Travail;8;x;8:30;;;16:30
8:30 17;Poste de travail;Travail;8,5;;8:30;;;17:00
9 13;Poste de travail;Travail;4;;9:00;;;13:00
9 14;Poste de travail;Travail;5;;9:00;;;14:00
9 16:30;Poste de travail;Travail;7,5;x;9:00;;;16:30
9 17:30;Poste de travail;Travail;8,5;;9:00;;;17:30
9 18;Poste de travail;Travail;9;;9:00;;;18:00
9:30 18;Poste de travail;Travail;8,5;x;9:30;;;18:00
10 13;Poste de travail;Travail;3;;10:00;;;13:00
10 14;Poste de travail;Travail;4;;10:00;;;14:00
10 16:30;Poste de travail;Travail;6,5;;10:00;;;16:30
10 19;Poste de travail;Travail;9;;10:00;;;19:00
10:30 17;Poste de travail;Travail;6,5;;10:30;;;17:00
11 16:30;Poste de travail;Travail;5,5;;11:00;;;16:30
11:30 20;Poste de travail;Travail;8,5;;11:30;;;20:00
12 16:30;Poste de travail;Travail;4,5;;12:00;;;16:30
12 16;Poste de travail;Travail;4;;12:00;;;16:00
12 20;Poste de travail;Travail;8;;12:00;;;20:00
12:30 16:30;Poste de travail;Travail;4;;12:30;;;16:30
13 18;Poste de travail;Travail;5;;13:00;;;18:00
13 19;Poste de travail;Travail;6;;13:00;;;19:00
13 15:30;Poste de travail;Travail;2,5;;13:00;;;15:30
13 16:30;Poste de travail;Travail;3,5;;13:00;;;16:30
13:30 17:30;Poste de travail;Travail;4;;13:30;;;17:30
14 18;Poste de travail;Travail;4;;14:00;;;18:00
14 20;Poste de travail;Travail;6;;14:00;;;20:00
15 19;Poste de travail;Travail;4;;15:00;;;19:00
15 20;Poste de travail;Travail;5;;15:00;;;20:00
15:30 19;Poste de travail;Travail;3,5;;15:30;;;19:00
16 20;Poste de travail;Travail;4;;16:00;;;20:00
16:30 20:15;Poste de travail;Travail;3,75;;16:30;;;20:15
18 21:00;Poste de travail;Travail;3;;18:00;;;21:00
6:45 12:15;Poste de travail;Travail;5,5;;6:45;;;12:15
6:45 14:45;Poste de travail;Travail;8;;6:45;;;14:45
6:45 15:15;Poste de travail;Travail;8,5;;6:45;;;15:15
6:45 20:30;Poste de travail;Travail;13,75;;6:45;;;20:30
C 15;Coupé 8-12:15 + 16:30-20:15;Travail;8;;8:00;12:15;16:30;20:15
C 15 SA;Coupé samedi;Travail;8;;8:00;12:15;16:30;20:15
C 15 DI;Coupé dimanche;Travail;8;;8:00;12:15;16:30;20:15
C 19;Coupé 7-11:30 + 15:30-19;Travail;8;;7:00;11:30;15:30;19:00
C 19 SA;Coupé samedi;Travail;8;;7:00;11:30;15:30;19:00
C 19 DI;Coupé dimanche;Travail;8;;7:00;11:30;15:30;19:00
C 20;Coupé 8-12 + 16-20;Travail;8;;8:00;12:00;16:00;20:00
C 20 E;Coupé 8-11:30 + 15:30-20;Travail;8;;8:00;11:30;15:30;20:00
19:45 6:45;Nuit;Travail;11;;19:45;;;6:45
20 7;Nuit;Travail;11;;20:00;;;7:00
20 24;Demi-nuit;Travail;4;;20:00;;;24:00
